MAPPING_ID,DQ_TEST_ID,MAPPED_SQL
44815.0,EDQT-3839,SELECT * FROM adh_genpro_use2_prd.s_suppliers.partner_functions_hhd
1746.0,EDQT-3527,"WITH cte1 AS ( SELECT [invoice_number], [invc_itm_nbr], fiscal_variant, doc_cal_month, COUNT(*) AS duplicate_count FROM adh_genpro_use2_prd.g_order360.billing_transactions_hhd WHERE ref_invc_nbr != '' AND invc_type IN ('zrk1', 'zrk2') AND sold_by IN ('10', '20', '30', '40') AND sales_org IN ('1000', '2000', '1200') AND CAST(created_date AS hist_cust_po_date) BETWEEN DATEADD(day, -180, GETDATE()) AND GETDATE() GROUP BY [invoice_number], [invc_itm_nbr], fiscal_variant, doc_cal_month ) SELECT 'BILL_NUM || BILL_ITEM || FISCVARNT || CALMONTH' AS PRIMARY_KEY_NAME, CAST(invoice_number AS VARCHAR) + ' || ' + CAST(invc_itm_nbr AS VARCHAR) + ' || ' + CAST(fiscal_variant AS VARCHAR) + ' || ' + CAST(doc_cal_month AS VARCHAR) AS PRIMARY_KEY_VALUE, 'BILL_NUM || BILL_ITEM || FISCVARNT || CALMONTH' AS ATTRIBUTE_NAME, CAST(invoice_number AS VARCHAR) + ' || ' + CAST(invc_itm_nbr AS VARCHAR) + ' || ' + CAST(fiscal_variant AS VARCHAR) + ' || ' + CAST(doc_cal_month AS VARCHAR) AS ATTRIBUTE_VALUE, 'duplicate_count' AS ADDITIONAL_COLUMN_NAME, duplicate_count AS ADDITIONAL_COLUMN_VALUE FROM cte1"
49.0,EDQT-49,"SELECT distinct CONCAT(consolidated_attrib,',',invoice_number,',',prod_id,',',acct_nbr) as Primary_Key, HEADER_EAR_DTTM_LOCAL, '49' AS MAPPING_ID FROM adh_genpro_use2_prd.g_product360.ontime_delivery_hhd tablesample(10 percentage) WITH (NOLOCK) WHERE (consolidated_attrib IS NOT NULL OR invoice_number IS NOT NULL OR prod_id IS NOT NULL OR acct_nbr IS NOT NULL)"
50.0,EDQT-50,"SELECT distinct CONCAT(consolidated_attrib,',',invoice_number,',',prod_id,',',acct_nbr) as Primary_Key, CUST_ORD_NBR, '50' AS MAPPING_ID FROM adh_genpro_use2_prd.g_product360.ontime_delivery_hhd tablesample(10 percentage) WITH (NOLOCK) WHERE (consolidated_attrib IS NOT NULL OR invoice_number IS NOT NULL OR prod_id IS NOT NULL OR acct_nbr IS NOT NULL)"
18.0,EDQT-18,"SELECT Distinct Descoped invoice_number&invc_itm_nbr, SOLD_BY,'18' AS MAPPING_ID FROM adh_genpro_use2_prd.g_order360.billing_transactions_hhd tablesample(10 percentage) WITH (NOLOCK) WHERE Invc_Date &gt;= DATEADD(d, -365, CAST(Getdate() AS hist_cust_po_date)) AND sales_organization IN ('1000', '1200', '2000') and invc_type in ('zf2','zf2d','zf2f')"
1115.0,EDQT-3414,"select distinct LTRIM(RTRIM(isnull(bp.object_row_id,'0')))AS EBP_ID, TRIM(bp.partner_status_cd) AS partner_status_cd, 'EBP ID<>EBP Status Code<>Address Line 1<>Address Line 2<>Address Row ID<>Business Unit<>City<>Country Code<>First Name<>Last Name<>Local ERP ID<>Org Indv Flag<>Partner Name<>Postal Code<>State' as ADDITIONAL_COLUMN_NAME, concat(bp.object_row_id,'<>',bp.partner_status_cd,'<>',A.address_line_1,'<>',A.address_line_2,'<>',A.object_row_id,'<>',bl.LOCAL_ERP_NAME,'<>',A.sold_to_city,'<>',A.COUNTRY_CODE,'<>',bp.partner_first_name,'<>',bp.partner_last_name,'<>',bl.LOCAL_ERP_ID,'<>',bp.org_indv_flg,'<>',bp.PARTNER_NAME,'<>',A.POSTAL_CODE,'<>',A.STATE_CODE_ORIG) as ADDITIONAL_COLUMN_VALUE, 'EBP ID Status Code does not meet Enterprise Standards.' AS INVALID_STATUS, '1115' as MAPPING_ID from adh_genpro_use2_prd.s_suppliers.business_partner_hhd bp tablesample(10 percentage) with(nolock) join adh_genpro_use2_prd.s_reference_data.emdm_c_bp_local_hhd bl with(nolock) on bl.ebp_id=bp.object_row_id join adh_genpro_use2_prd.s_reference_data.c_bp_address_hhd A with(nolock) on A.ebp_id=bp.object_row_id where bp.HUB_STATE_IND =1 and bl.HUB_STATE_IND =1 and A.HUB_STATE_IND =1 and bp.org_indv_flg='O'"
34.0,EDQT-34,"select distinct CONCAT(consolidated_attrib,',',invoice_number,',',prod_id,',',acct_nbr) as Primary_Key, Manifest_EAR_DTTM_local, '34' as MAPPING_ID from adh_genpro_use2_prd.g_product360.ontime_delivery_hhd tablesample(10 percentage) WITH (NOLOCK) where (consolidated_attrib IS NOT NULL OR invoice_number IS NOT NULL OR prod_id IS NOT NULL OR acct_nbr IS NOT NULL) and HEADER_EAR_DTTM_local &gt;= dateadd(d, -90, CAST(Getdate() AS hist_cust_po_date)) and MANIFEST_EAR_DTTM_local &gt;= dateadd(d, -90, CAST(Getdate() AS hist_cust_po_date))"
49.0,EDQT-49,"SELECT distinct CONCAT(consolidated_attrib,',',invoice_number,',',prod_id,',',acct_nbr) as Primary_Key, HEADER_EAR_DTTM_LOCAL, '49' AS MAPPING_ID FROM adh_genpro_use2_prd.g_product360.ontime_delivery_hhd tablesample(10 percentage) WITH (NOLOCK) WHERE (consolidated_attrib IS NOT NULL OR invoice_number IS NOT NULL OR prod_id IS NOT NULL OR acct_nbr IS NOT NULL)"
1292.0,EDQT-962,"SELECT DISTINCT cust_nbr, cust_hrsa_nbr, 'Customer Account Name<>340B Contracted Pharmacy Flag<>Customer Group<>340B Partner Account # <>340B Partner Name' AS 'ADDITIONAL_COLUMN_NAME', CONCAT(vendor_name_1,'<>',340b_contr_pharm_flg,'<>',cust_grp,'<>',340b_nbr,'<>',340b_ territory_name) AS 'ADDITIONAL_COLUMN_VALUE', '1292' as Mapping_id FROM adh_genpro_use2_prd.s_customers.customer_details_consolidated_hhd WHERE (( (340b_contr_pharm_flg = 'x' OR cust_grp IN ('07', '10')) AND (cust_central_ord_blk IS NULL OR cust_central_ord_blk = '') ) OR ( cust_grp IN ('02', '06', '08', '09', '12') AND (cust_central_ord_blk IS NULL OR cust_central_ord_blk = '') AND (cust_hrsa_nbr IS NOT NULL and cust_hrsa_nbr != '') ) OR ( cust_grp IN ('02', '06', '08', '09', '12') AND (cust_central_ord_blk IS NULL OR cust_central_ord_blk = '') AND ( retail_grp_1 = '20102' OR retail_grp_2 = '20102' OR retail_grp_3 = '20102' OR retail_grp_4 = '20102' OR retail_grp_5 = '20102' ) ) OR ( cust_grp IN ('02', '06', '08', '09', '12') AND (cust_central_ord_blk IS NULL OR cust_central_ord_blk = '') AND industry_cd IN ('48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58') ) OR ( cust_grp IN ('02', '06', '08', '09', '12') AND (cust_central_ord_blk IS NULL OR cust_central_ord_blk = '') AND ( ""vendor_name_1"" LIKE '%340B%' OR ""vendor_name_1"" LIKE '% 340B %' OR ""vendor_name_1"" LIKE '% 340B%' OR ""vendor_name_1"" LIKE '%-340B%' ) AND ( ""vendor_name_1"" NOT LIKE '%-NON-340B%' AND ""vendor_name_1"" NOT LIKE '% NON340B %' AND ""vendor_name_1"" NOT LIKE '% NON 340B%' AND ""vendor_name_1"" NOT LIKE '%-NON 340B%' AND ""vendor_name_1"" NOT LIKE '% NON-340B%' ) ) OR ( cust_grp IN ('02', '06', '08', '09', '12') AND (cust_central_ord_blk IS NULL OR cust_central_ord_blk = '') AND (340b_nbr IS NOT NULL or 340b_nbr != '') AND (340b_ territory_name IS NOT NULL or 340b_ territory_name != '') ))"
53.0,EDQT-53,"SELECT distinct CONCAT(consolidated_attrib,',',invoice_number,',',prod_id,',',acct_nbr) as Primary_Key, acct_nbr, '53' AS MAPPING_ID FROM adh_genpro_use2_prd.g_product360.ontime_delivery_hhd tablesample(10 percentage) WITH (NOLOCK) WHERE (consolidated_attrib IS NOT NULL OR invoice_number IS NOT NULL OR prod_id IS NOT NULL OR acct_nbr IS NOT NULL)"
